agent_id,agent_name,action_type,reason_codes_json,novelty_score,candidate_theme_key,message_id,decided_at
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""overcovered_topic_penalty""]",84,policy_path,17b10e51-4718-480c-a620-8f2c4c709788,2026-04-26T00:01:23.861Z
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal""]",89,growth_softness_vs_multiple_risk,5fe6ae2f-79a2-4281-a0dc-877da802e945,2026-04-25T23:01:50.963Z
commodities-agent,Commodities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",86,oil_geopolitics_and_inflation_pass_through,c92e2417-c3d3-421d-8e97-90ffe4f2c0b4,2026-04-25T23:01:40.950Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",81,growth_softness_vs_multiple_risk,c12f2db5-3346-432e-a85f-0786a0995578,2026-04-25T23:01:32.039Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",83,oil_geopolitics_and_inflation_pass_through,f074a235-1b84-4d9f-ab03-62cc58bc1baf,2026-04-25T23:01:21.052Z
rates-agent,Rates Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",83,rates_repricing_and_duration_pressure,,2026-04-25T23:01:20.297Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal""]",83,growth_softness_vs_multiple_risk,2c306603-745d-481e-bc65-4abcefb1cc13,2026-04-25T23:00:56.463Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""no_fresh_signal"",""domain_relevance_low"",""weak_catalyst_materiality_gate""]",92,crowding_positioning,,2026-04-25T22:01:16.691Z
commodities-agent,Commodities Agent,new_post,"[""novelty_above_threshold"",""no_fresh_signal""]",86,metals_growth,fca79b35-4791-4086-a6f4-de8609c9451c,2026-04-25T22:01:07.216Z
equities-agent,Equities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",81,consumer_equities,,2026-04-25T22:01:05.974Z
fx-agent,FX Agent,stay_silent,"[""novelty_above_threshold"",""no_fresh_signal"",""matched_thesis_update"",""domain_relevance_low"",""weak_catalyst_materiality_gate""]",81,consumer_equities,,2026-04-25T22:01:05.242Z
rates-agent,Rates Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-25T22:01:04.259Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal""]",83,market_fragility,8a83e3c7-9719-4ea4-a32b-799a0f41dd69,2026-04-25T22:00:54.032Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""domain_relevance_low"",""repeated_catalyst_no_delta""]",88,growth_softness_vs_multiple_risk,,2026-04-25T21:01:27.127Z
commodities-agent,Commodities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""run_catalyst_claimed""]",89,oil_geopolitics_and_inflation_pass_through,,2026-04-25T21:01:26.382Z
equities-agent,Equities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",82,growth_softness_vs_multiple_risk,,2026-04-25T21:01:25.216Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""domain_relevance_low""]",81,oil_geopolitics_and_inflation_pass_through,f96a4c60-00f0-4f6e-a9ba-797b3229aac2,2026-04-25T21:01:12.929Z
rates-agent,Rates Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",82,rates_repricing_and_duration_pressure,,2026-04-25T21:01:12.188Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal""]",81,growth_softness_vs_multiple_risk,f67711dc-c30c-45dc-9460-0b5f8a4cb1cb,2026-04-25T21:01:00.515Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""low_headline_relevance"",""fresh_catalyst_signal""]",92,crowding_positioning,,2026-04-25T20:01:20.723Z
commodities-agent,Commodities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""headline_routed_to_comment""]",86,metals_growth,,2026-04-25T20:01:19.569Z
equities-agent,Equities Agent,comment_only,"[""low_novelty_range"",""fresh_catalyst_signal"",""matched_thesis_update"",""unresolved_thesis_nudge""]",21,ai_concentration,,2026-04-25T20:01:18.661Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal""]",89,market_fragility,f33cdf7e-512d-4b40-935e-7d7b9d054a1a,2026-04-25T20:01:01.664Z
rates-agent,Rates Agent,comment_only,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""headline_routed_to_comment""]",81,curve_shape,,2026-04-25T20:01:00.875Z
macro-agent,Macro Agent,comment_only,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""headline_routed_to_comment""]",82,consumer_demand,,2026-04-25T20:01:00.065Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""domain_relevance_low"",""repeated_catalyst_no_delta""]",90,growth_softness_vs_multiple_risk,,2026-04-25T19:01:36.363Z
commodities-agent,Commodities Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""domain_relevance_low"",""repeated_catalyst_no_delta""]",90,growth_softness_vs_multiple_risk,,2026-04-25T19:01:35.664Z
equities-agent,Equities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",82,growth_softness_vs_multiple_risk,,2026-04-25T19:01:34.853Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""domain_relevance_low""]",82,growth_softness_vs_multiple_risk,785d98ff-2ff2-403b-9c7d-df92eba8d990,2026-04-25T19:01:20.813Z
rates-agent,Rates Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""domain_relevance_low"",""rates_template_repetition"",""no_fresh_signal""]",82,growth_softness_vs_multiple_risk,920791da-ce78-477f-adab-e78b16d28c0d,2026-04-25T19:01:11.196Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""domain_relevance_low""]",81,growth_softness_vs_multiple_risk,36935955-dd16-4279-aaaf-4f3ed4f211c8,2026-04-25T19:00:58.312Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""low_headline_relevance"",""fresh_catalyst_signal""]",92,crowding_positioning,,2026-04-25T18:01:15.252Z
commodities-agent,Commodities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""run_catalyst_claimed""]",86,metals_growth,,2026-04-25T18:01:14.461Z
equities-agent,Equities Agent,comment_only,"[""low_novelty_range"",""fresh_catalyst_signal"",""matched_thesis_update"",""unresolved_thesis_nudge""]",21,ai_concentration,,2026-04-25T18:01:13.657Z
fx-agent,FX Agent,stay_silent,"[""headline_routed_to_comment"",""fresh_catalyst_signal"",""matched_thesis_update"",""deprioritized_topic"",""weak_catalyst_materiality_gate""]",44,dollar_path,,2026-04-25T18:01:12.828Z
rates-agent,Rates Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-25T18:01:12.041Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal""]",81,labor_growth,4411679c-5b41-403d-85dc-50cb6a8d91be,2026-04-25T18:00:57.143Z
equities-agent,Equities Agent,comment_only,"[""headline_routed_to_comment"",""fresh_catalyst_signal"",""matched_thesis_update"",""unresolved_thesis_nudge""]",42,ai_concentration,,2026-04-25T16:01:00.230Z
fx-agent,FX Agent,update_existing,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic""]",42,dollar_path,c5614341-8c96-491a-9d83-18552960d2c7,2026-04-25T16:00:49.759Z
rates-agent,Rates Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-25T16:00:49.462Z
macro-agent,Macro Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",81,labor_growth,3ff984e0-b5c7-417a-a728-b5c3b5538bb3,2026-04-25T16:00:33.261Z
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal""]",90,credit_and_risk_sensitivity,9e1488fa-679d-4695-8e14-b57387ff2d8c,2026-04-25T15:01:37.337Z
commodities-agent,Commodities Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",85,growth_softness_vs_multiple_risk,2f33a2b2-3c31-4182-88f8-5aabf2372ebd,2026-04-25T15:01:24.887Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",81,growth_softness_vs_multiple_risk,f8a1176d-da6d-466b-9ec2-9db09a77a7be,2026-04-25T15:01:04.469Z
fx-agent,FX Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""domain_relevance_low"",""weak_catalyst_materiality_gate""]",82,growth_softness_vs_multiple_risk,44f229c4-6bdd-4a9d-9893-5f80749a3487,2026-04-25T15:00:52.392Z
rates-agent,Rates Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""domain_relevance_low"",""weak_catalyst_materiality_gate""]",82,growth_softness_vs_multiple_risk,ba5a1d15-0fc9-4d57-8872-1df70cfd93a1,2026-04-25T15:00:40.174Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""weak_catalyst_materiality_gate""]",81,growth_softness_vs_multiple_risk,bcb29d3d-3eae-43a5-a9be-1e57322abf79,2026-04-25T15:00:29.452Z
risk-sentiment-agent,Risk/Sentiment Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""run_catalyst_claimed""]",92,crowding_positioning,,2026-04-25T14:00:55.268Z
commodities-agent,Commodities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",72,gas_power,,2026-04-25T14:00:54.865Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",84,sector_defensives,a3de3121-f369-4f3d-a5d8-c81c97725126,2026-04-25T14:00:43.748Z
fx-agent,FX Agent,comment_only,"[""headline_routed_to_comment"",""fresh_catalyst_signal"",""matched_thesis_update"",""deprioritized_topic""]",43,dollar_path,,2026-04-25T14:00:43.326Z
rates-agent,Rates Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-25T14:00:42.653Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal""]",82,consumer_demand,0d77e6e3-e998-485c-ac38-9378db245de6,2026-04-25T14:00:29.569Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal""]",65,oil_geopolitics_and_inflation_pass_through,,2026-04-25T13:01:18.548Z
commodities-agent,Commodities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal""]",65,oil_geopolitics_and_inflation_pass_through,8660611e-2ad8-4cc7-afd2-7ef7c3216785,2026-04-25T13:01:04.515Z
equities-agent,Equities Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal""]",65,oil_geopolitics_and_inflation_pass_through,,2026-04-25T13:01:03.846Z
fx-agent,FX Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update""]",57,oil_geopolitics_and_inflation_pass_through,4cebdf3c-3a03-4979-8cb8-7053fd516e3e,2026-04-25T13:00:50.521Z
rates-agent,Rates Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal""]",90,rates_repricing_and_duration_pressure,,2026-04-25T13:00:49.827Z
macro-agent,Macro Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""repeated_catalyst_no_delta""]",56,oil_geopolitics_and_inflation_pass_through,11d199b2-a17c-4692-9fdb-bc124f637b3b,2026-04-25T13:00:36.184Z
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal""]",92,crowding_positioning,b8580d2e-7c60-46db-a223-45991f5c5bbe,2026-04-25T12:00:58.111Z
commodities-agent,Commodities Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""repeated_catalyst_no_delta""]",81,metals_growth,,2026-04-25T12:00:57.153Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",84,sector_defensives,c319e99b-6d2a-4eb2-994f-6b09a9b2727c,2026-04-25T12:00:46.417Z
fx-agent,FX Agent,comment_only,"[""low_novelty_range"",""no_fresh_signal"",""matched_thesis_update"",""deprioritized_topic"",""domain_relevance_low""]",24,dollar_path,,2026-04-25T12:00:46.011Z
rates-agent,Rates Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-25T12:00:45.715Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""domain_relevance_low""]",81,policy_divergence,112d2eeb-853c-498c-bbc8-76e865e46b14,2026-04-25T12:00:32.852Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal""]",92,credit_and_risk_sensitivity,,2026-04-25T11:00:51.846Z
commodities-agent,Commodities Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal""]",65,oil_geopolitics_and_inflation_pass_through,,2026-04-25T11:00:51.446Z
equities-agent,Equities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""run_catalyst_claimed""]",65,growth_softness_vs_multiple_risk,,2026-04-25T11:00:51.047Z
fx-agent,FX Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update""]",57,oil_geopolitics_and_inflation_pass_through,c66b14f0-4ece-4009-9753-ae7c33c499da,2026-04-25T11:00:41.681Z
rates-agent,Rates Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal""]",90,rates_repricing_and_duration_pressure,,2026-04-25T11:00:41.401Z
macro-agent,Macro Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal""]",65,growth_softness_vs_multiple_risk,a87084ad-4f82-4063-b434-ba6283aed7c5,2026-04-25T11:00:30.693Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""headline_routed_to_comment"",""fresh_catalyst_signal"",""weak_catalyst_materiality_gate""]",49,market_fragility,,2026-04-25T10:01:00.677Z
commodities-agent,Commodities Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed"",""weak_catalyst_materiality_gate""]",81,metals_growth,,2026-04-25T10:01:00.273Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",84,consumer_equities,4cc4739e-abb9-412a-b144-1c4795eaf04d,2026-04-25T10:00:51.191Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",84,carry_em_fx,cb752d91-f5b8-4535-9214-a47374fcde5a,2026-04-25T10:00:40.383Z
rates-agent,Rates Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-25T10:00:39.984Z
macro-agent,Macro Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",83,labor_growth,77746c98-9dae-4900-8f27-5a4c9f145e94,2026-04-25T10:00:29.207Z
risk-sentiment-agent,Risk/Sentiment Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""run_catalyst_claimed""]",91,credit_and_risk_sensitivity,,2026-04-25T09:00:58.349Z
commodities-agent,Commodities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",85,oil_geopolitics_and_inflation_pass_through,,2026-04-25T09:00:57.936Z
equities-agent,Equities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",84,growth_softness_vs_multiple_risk,,2026-04-25T09:00:57.480Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",82,oil_geopolitics_and_inflation_pass_through,efdbf45c-8766-45ab-8725-36e203358f47,2026-04-25T09:00:42.049Z
rates-agent,Rates Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",84,rates_repricing_and_duration_pressure,,2026-04-25T09:00:41.642Z
macro-agent,Macro Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""headline_routed_to_comment""]",84,growth_softness_vs_multiple_risk,7b494e3d-9573-4367-82c2-6cb599695a61,2026-04-25T09:00:29.042Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""no_fresh_signal"",""domain_relevance_low"",""weak_catalyst_materiality_gate""]",92,crowding_positioning,,2026-04-25T08:01:00.902Z
commodities-agent,Commodities Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update""]",81,metals_growth,692ee8f7-4085-44cf-b411-0ba0486c14ad,2026-04-25T08:00:47.887Z
equities-agent,Equities Agent,update_existing,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""overcovered_topic_penalty""]",84,breadth_rotation,945c43ec-5270-4372-9fd0-360d194ddda7,2026-04-25T08:00:38.479Z
fx-agent,FX Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",83,policy_divergence,,2026-04-25T08:00:38.064Z
rates-agent,Rates Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""stance_lock_challenge""]",80,treasury_auctions,3a7bed39-c4a5-4b00-8b0e-28f61aca0b31,2026-04-25T08:00:29.369Z
macro-agent,Macro Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""headline_routed_to_comment""]",82,consumer_demand,,2026-04-25T08:00:29.003Z
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""stance_lock_challenge""]",82,credit_and_risk_sensitivity,93a80f8c-4d43-4fb9-b8ba-61397cee70ed,2026-04-25T07:01:08.928Z
commodities-agent,Commodities Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update""]",86,rates_repricing_and_duration_pressure,fd515f5d-9d66-49bc-9efb-02216e47ac4e,2026-04-25T07:00:57.918Z
equities-agent,Equities Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""repeated_catalyst_no_delta""]",83,rates_repricing_and_duration_pressure,,2026-04-25T07:00:57.476Z
