agent_id,agent_name,message_id,clarity_score,specificity_score,actionability_score,distinctiveness_score,overall_score,strengths,weaknesses,created_at
macro-agent,Macro Agent,8b203226-3023-4e92-add8-8e9325757b79,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T01:01:23.034Z
equities-agent,Equities Agent,d5cf6c8f-7e88-49d7-a1c8-dba692ddd979,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T01:01:27.561Z
risk-sentiment-agent,Risk/Sentiment Agent,2dc0af32-b95a-4574-b72a-6102c6f0c116,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T01:01:27.905Z
equities-agent,Equities Agent,ce31a0b4-70ac-428d-ad3b-7465121c4817,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T01:28:33.625Z
equities-agent,Equities Agent,daa997f0-fc28-498b-8540-9d5087da9779,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T03:01:33.403Z
macro-agent,Macro Agent,2384af21-ca17-4d1b-914a-f4cc137e0eef,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T04:01:16.427Z
rates-agent,Rates Agent,8e5e17f2-659d-4b8b-9b0e-5cf3f5472f44,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T04:01:20.253Z
rates-agent,Rates Agent,c0d8057e-9e33-406b-8a23-fe328762e478,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:01:21.954Z
risk-sentiment-agent,Risk/Sentiment Agent,88ea8735-b2dc-4cd3-9259-23498e313e37,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:01:25.889Z
macro-agent,Macro Agent,30132b15-1dd9-4336-a425-fcd9825ce3d7,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:23:21.062Z
rates-agent,Rates Agent,acd159aa-fc9e-4a94-8d93-743e4574ac7d,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:23:22.554Z
rates-agent,Rates Agent,130c1640-7035-47f5-8f5a-0c51bb8c331c,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:32:00.253Z
macro-agent,Macro Agent,221cd48f-89cf-4448-bbdf-e3e18452abf0,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:37:56.007Z
rates-agent,Rates Agent,f3157219-973b-4b2a-9b39-45ac07d8c9f1,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:38:01.050Z
equities-agent,Equities Agent,761c81fa-d366-48d4-ba03-afbb2763f8f9,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:38:04.998Z
macro-agent,Macro Agent,8aebb6bd-7dfb-4d0e-9ff7-710de9600310,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:44:31.000Z
rates-agent,Rates Agent,22b2b7dd-2464-43f7-b5ef-0171de9e3fe5,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:44:35.902Z
risk-sentiment-agent,Risk/Sentiment Agent,b2d105c0-4d5b-4547-9dca-bb5dfc9be73c,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T06:44:40.943Z
rates-agent,Rates Agent,408bd2e0-f43a-431e-9abe-6b01a05116e8,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T07:29:45.963Z
risk-sentiment-agent,Risk/Sentiment Agent,4e9e4ce5-8cf9-4751-851c-0abafeda90b6,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T07:29:46.019Z
equities-agent,Equities Agent,6a152e18-abf9-4888-bdb1-830e73d44a58,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T07:36:41.158Z
rates-agent,Rates Agent,54039e9c-fa03-4f54-a86c-763148a420c1,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T09:01:11.127Z
rates-agent,Rates Agent,2b300bba-3ebb-4594-a3b2-a0cbb7f3bbc7,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T10:01:36.710Z
equities-agent,Equities Agent,4d8d7400-9d79-4771-8d81-ee803d961f42,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T10:01:36.893Z
equities-agent,Equities Agent,7a0dbff3-12ef-4aec-99c9-914de139d590,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T13:02:00.561Z
rates-agent,Rates Agent,a28b075f-9446-411a-8f87-ac08b814dd4c,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T13:52:14.383Z
fx-agent,FX Agent,e27ab84c-691e-462f-a812-dee6b8bc8541,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T13:52:14.445Z
rates-agent,Rates Agent,d0182314-3791-4f60-a594-aff7f711869e,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T14:19:09.628Z
macro-agent,Macro Agent,7456b678-a39e-403c-b60a-4acef3ecc788,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T16:01:55.326Z
equities-agent,Equities Agent,9dbe9bd2-6111-48d9-9e2a-fb6c4f10d88b,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T16:01:55.694Z
equities-agent,Equities Agent,14e68517-45f8-4bc5-861b-de8118efe9c9,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T21:01:46.691Z
equities-agent,Equities Agent,b95ab01d-a638-4873-ba53-deb03ace1c12,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T00:02:32.646Z
commodities-agent,Commodities Agent,ac080ee1-1f1b-4800-9c4f-223a36356cc5,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T05:01:42.087Z
macro-agent,Macro Agent,bc56e28b-2428-4568-b398-72757e765054,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T10:01:40.414Z
macro-agent,Macro Agent,31006b61-07db-4667-9430-5c4fca336702,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T13:02:00.773Z
commodities-agent,Commodities Agent,a23b8cf9-8573-4409-80d8-d8a37f0d5a57,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T14:01:52.679Z
risk-sentiment-agent,Risk/Sentiment Agent,1c1dde9a-ca76-4ecf-8810-60957ce300a7,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T15:01:51.121Z
macro-agent,Macro Agent,1849ef70-2f71-421f-9ab6-f59fce5f5530,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T16:01:53.259Z
macro-agent,Macro Agent,d16eea96-0f44-4459-80c4-c7b3a57e9a2c,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T17:01:58.588Z
commodities-agent,Commodities Agent,aead499e-60f2-41bb-8f31-722b3d2017df,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T17:01:58.962Z
equities-agent,Equities Agent,6957441e-b31a-4e7a-a87b-929f3e3f7006,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T19:02:06.192Z
risk-sentiment-agent,Risk/Sentiment Agent,d401902c-0559-4249-b9d6-8be1f9c65c6a,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T19:02:06.556Z
fx-agent,FX Agent,c2bbf077-f9bf-4631-bd67-24cd13d2a235,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T21:01:43.891Z
equities-agent,Equities Agent,90d1c4cd-1f64-4444-98fc-4531ada03360,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T22:01:54.782Z
risk-sentiment-agent,Risk/Sentiment Agent,0a408f19-b446-47a8-be84-5d10cd653a15,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-21T22:01:55.149Z
macro-agent,Macro Agent,a751dd45-04cb-4519-8730-11a580f5c134,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T00:02:09.075Z
fx-agent,FX Agent,789dd287-065f-4dc4-93a5-30bedfd88ff2,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T00:02:09.487Z
fx-agent,FX Agent,849d3576-8908-44e1-b491-00696b2fffaf,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T01:01:39.977Z
equities-agent,Equities Agent,76a3de1a-a015-4306-bb83-f916d16eed5a,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T04:01:42.699Z
equities-agent,Equities Agent,263a322e-a6bd-4660-be13-dcaa0908eaea,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T05:56:40.755Z
macro-agent,Macro Agent,e062db80-080e-4745-aab3-fcdd8a00ef4c,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T07:02:15.132Z
fx-agent,FX Agent,80b685b4-6a64-4aef-bb22-27f8d1eb4081,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T07:02:15.399Z
equities-agent,Equities Agent,17581d69-4eb0-44de-90bc-596a3a699552,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T07:02:15.680Z
macro-agent,Macro Agent,080aee25-2b2a-4673-9992-2cdb29aa03e6,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T09:01:24.862Z
macro-agent,Macro Agent,deda2bb0-6064-4b60-a01b-701a687a8a81,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T10:01:43.244Z
equities-agent,Equities Agent,8f0d5bce-fe85-47b0-bfd9-648c3bcfedf4,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T10:01:44.524Z
macro-agent,Macro Agent,fe134086-bb6a-47ad-b572-5a6a8aa47767,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:02:21.758Z
fx-agent,FX Agent,ba93426e-6c05-474e-8b40-b0d655bb0bab,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:02:22.051Z
equities-agent,Equities Agent,cdedaa9a-3f99-446a-80d7-e51530a48004,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:02:22.341Z
macro-agent,Macro Agent,43eb02ba-58cf-4ead-b15d-7872b55a4891,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:15:45.417Z
rates-agent,Rates Agent,8717cd73-5cb0-4597-b264-26bdd80160d7,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:15:49.457Z
equities-agent,Equities Agent,3842c14d-5016-4622-a1a0-7f65dc4d908c,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:15:53.291Z
macro-agent,Macro Agent,4c047844-6cf7-4b5b-9668-fe282a9421c5,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:18:44.555Z
equities-agent,Equities Agent,8d23f655-45d4-4404-b090-f0a8b5ea8e0f,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:18:50.415Z
equities-agent,Equities Agent,4f123dec-41e9-4ee3-bec0-59b94e5e5bc2,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:20:46.429Z
macro-agent,Macro Agent,aab24c53-df47-448f-ba66-79a1f4c7408b,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:37:32.226Z
macro-agent,Macro Agent,e7485b10-bb42-4a3c-a406-7e673fb8c8f1,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:57:23.195Z
macro-agent,Macro Agent,fdf8707e-3957-4238-8ecc-8469b1c73d14,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:57:59.440Z
macro-agent,Macro Agent,e4f5a62d-dbbf-41c8-b158-2cec69c502df,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:58:25.597Z
fx-agent,FX Agent,05a7d3d0-1e11-468a-bddc-2f3779f7ea32,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T13:58:30.931Z
macro-agent,Macro Agent,40cb2b26-a37f-4448-8354-743e833ee652,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T14:13:56.639Z
rates-agent,Rates Agent,49e19179-339b-447d-8ac6-02e5cbe4eb67,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T14:14:45.725Z
equities-agent,Equities Agent,51cc6989-fc08-4844-9c0c-d3af87817b48,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T14:14:51.492Z
equities-agent,Equities Agent,b0009b77-301d-4cb0-b3eb-85d398766b4e,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T14:15:40.792Z
risk-sentiment-agent,Risk/Sentiment Agent,140bd825-3e50-48b4-8c39-859cab98e5f3,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T14:16:11.184Z
rates-agent,Rates Agent,a2db730d-548f-4223-9f6c-b1f7f994391f,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T14:16:56.280Z
macro-agent,Macro Agent,f4641efc-e5a6-43fa-8e18-8995a062ced5,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T15:01:28.421Z
macro-agent,Macro Agent,b54ff5e3-94a1-48b9-a946-65de0a3fab37,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T15:59:10.668Z
fx-agent,FX Agent,ed4596ea-7fba-4303-9113-01a995c2dd59,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T16:01:56.483Z
macro-agent,Macro Agent,116e276d-e286-4a3a-b89a-aa7e99ea69de,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T18:01:29.160Z
macro-agent,Macro Agent,630c6661-6174-42f7-9962-eea7937aba76,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T19:01:55.351Z
commodities-agent,Commodities Agent,ef8060c4-be7d-46fd-aee7-e1997dca9836,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T20:01:32.587Z
macro-agent,Macro Agent,ad1ebe8b-bcb5-4334-82f3-afa77db2a4ba,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T22:01:33.909Z
macro-agent,Macro Agent,4b6c50aa-9efc-4003-9f8b-1eb4cfcefbf7,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-22T23:01:18.587Z
equities-agent,Equities Agent,3b32d29e-9b92-4392-ad15-f69239cf6980,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T01:23:20.992Z
macro-agent,Macro Agent,e5a05c18-341d-4186-8543-abda4cfac308,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T09:01:36.411Z
fx-agent,FX Agent,ccaff27d-6aa3-4172-a5d1-461a36a9b2a8,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T09:01:36.613Z
macro-agent,Macro Agent,020fa4c9-a289-43f2-a438-0e559e21bc82,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T10:01:23.750Z
fx-agent,FX Agent,a84fc2f0-49ea-400a-99eb-2009f720fca9,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T16:02:01.307Z
commodities-agent,Commodities Agent,97a5c063-e70d-488d-b47f-d61fd0a21117,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T16:02:01.688Z
macro-agent,Macro Agent,2c08f9f4-91a2-41da-ab0e-a13d05a123e1,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T16:02:06.262Z
macro-agent,Macro Agent,62327560-0f0a-4b5e-81c4-3c6a1b0aa828,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T16:02:54.387Z
commodities-agent,Commodities Agent,28646e81-718a-4007-b786-e222a30f9fd5,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T16:17:19.859Z
equities-agent,Equities Agent,0699f67e-7159-475f-b96b-2f6f96e2abf2,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T16:26:38.472Z
commodities-agent,Commodities Agent,bd8f6369-004e-47ea-aff6-c5cb0ba8c4ad,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T16:26:43.555Z
macro-agent,Macro Agent,385f5455-fdc5-47f2-9e01-07764f518cda,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-23T17:01:44.346Z
